time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
2400.0,E0_900m,36.6285784,36.5642048,E,E,900
2400.0,E0_1000m,36.773419000000004,36.676858599999996,E,E,1000
2400.0,E0_1100m,36.902166199999996,36.7573256,E,E,1100
2400.0,E0_1200m,36.934353,36.8216992,E,E,1200
2400.0,E0_1300m,36.9826332,36.8860728,E,E,1300
2400.0,E0_1400m,37.0309134,36.8860728,E,E,1400
2400.0,E0_1500m,37.1274738,36.950446400000004,E,E,1500
2400.0,E0_1600m,37.2079408,36.950446400000004,E,E,1600
2400.0,E0_1700m,37.2401276,36.9987266,E,E,1700
2400.0,E0_1800m,37.2884078,37.01482,E,E,1800
2400.0,E0_1900m,37.3849682,37.0631002,E,E,1900
2400.0,E0_2000m,37.5298088,37.0631002,E,E,2000
2400.0,E0_2100m,37.7712098,37.095287,E,E,2100
2400.0,E0_2200m,38.060891,37.1435672,E,E,2200
2400.0,E0_2300m,38.237918400000005,37.079193599999996,E,E,2300
2400.0,E0_2400m,38.7207204,37.0470068,E,E,2400
2400.0,E0_2500m,39.4932036,37.0309134,E,E,2500
2400.0,E0_2600m,40.474900999999996,36.902166199999996,E,E,2600
2400.0,E0_2700m,41.8267466,36.7090454,E,E,2700
2400.0,E0_2800m,44.0637292,36.6446718,E,E,2800
2400.0,E0_2900m,47.378969600000005,36.5963916,F,E,2900
2400.0,E0_3000m,50.098754199999995,36.6285784,F,E,3000
2400.0,E0_3100m,49.9217268,36.676858599999996,F,E,3100
2400.0,E0_3200m,49.6964192,36.7251388,F,E,3200
2400.0,E0_3300m,49.6320456,36.7412322,F,E,3300
2400.0,E0_3400m,49.535485200000004,36.7895124,F,E,3400
2400.0,E0_3500m,49.3423644,36.7573256,F,E,3500
2400.0,E0_3600m,49.2618974,36.6446718,F,E,3600
2400.0,E0_3700m,49.036589799999994,36.676858599999996,F,E,3700
2400.0,E0_3800m,48.7147218,36.7090454,F,E,3800
2400.0,E0_3900m,46.6386732,36.676858599999996,F,E,3900
2400.0,E0_4000m,36.6285784,36.6607652,E,E,4000
2400.0,E0_4100m,32.3638274,36.692952,D,E,4100
2400.0,E0_4200m,32.1385198,36.7573256,D,E,4200
2400.0,E0_4300m,32.2511736,36.8699794,D,E,4300
2400.0,E0_4400m,32.428200999999994,36.902166199999996,D,E,4400
2400.0,E0_4500m,32.669602,36.853885999999996,D,E,4500
2400.0,E0_4600m,32.830535999999995,36.7895124,D,E,4600
2400.0,E0_4700m,32.9753766,36.7895124,D,E,4700
2400.0,E0_4800m,33.0397502,36.7251388,D,E,4800
2400.0,E0_4900m,33.1845908,36.6446718,D,E,4900
