scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,2100.0,E0,2200,4063.6,25.27,E0_2200m
attack,2100.0,E0,2300,4063.6,25.165500000000005,E0_2300m
attack,2100.0,E0,2400,4064.4,25.040166666666664,E0_2400m
attack,2100.0,E0,2500,4075.2,24.896,E0_2500m
attack,2100.0,E0,2600,4078.4,24.675666666666665,E0_2600m
attack,2100.0,E0,2700,4081.2,24.384666666666664,E0_2700m
attack,2100.0,E0,2800,4077.2000000000003,23.951,E0_2800m
attack,2100.0,E0,2900,4076.0,23.266666666666666,E0_2900m
attack,2100.0,E0,3000,4064.0,22.185666666666666,E0_3000m
attack,2100.0,E0,3100,4068.8,22.054166666666667,E0_3100m
attack,2100.0,E0,3200,4070.0,22.133166666666668,E0_3200m
attack,2100.0,E0,3300,4064.3999999999996,22.152166666666666,E0_3300m
attack,2100.0,E0,3400,4063.6,22.1505,E0_3400m
attack,2100.0,E0,3500,4059.2,22.142500000000005,E0_3500m
attack,2100.0,E0,3600,4049.2,22.12683333333333,E0_3600m
attack,2100.0,E0,3700,4038.8,22.125666666666675,E0_3700m
attack,2100.0,E0,3800,4035.2,22.126166666666666,E0_3800m
attack,2100.0,E0,3900,4032.0,22.1755,E0_3900m
attack,2100.0,E0,4000,4025.2,23.10433333333333,E0_4000m
attack,2100.0,E0,4100,4021.2,25.819833333333328,E0_4100m
attack,2100.0,E0,4200,4024.0,25.998333333333328,E0_4200m
attack,2100.0,E0,4300,4020.0,25.911166666666663,E0_4300m
attack,2100.0,E0,4400,4004.4,25.8215,E0_4400m
attack,2100.0,E0,4500,4002.4,25.727166666666665,E0_4500m
attack,2100.0,E0,4600,4005.6000000000004,25.64333333333333,E0_4600m
attack,2100.0,E0,4700,4006.4,25.60366666666667,E0_4700m
attack,2100.0,E0,4800,4016.4,25.568000000000005,E0_4800m
attack,2100.0,E0,4900,4022.8,25.552999999999997,E0_4900m
attack,2100.0,E0,5000,4015.2,25.54733333333333,E0_5000m
attack,2400.0,E0,0,0.0,-1.0,E0_0m
attack,2400.0,E0,100,3982.8,26.176000000000002,E0_100m
attack,2400.0,E0,200,3982.8,26.6225,E0_200m
