scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,1200.0,E0_0_900m,1767.2,25.48366666666666
attack,1200.0,E0_1_0m,0.0,-1.0
attack,1200.0,E0_1_1000m,2189.6,27.28933333333333
attack,1200.0,E0_1_100m,2178.8,27.497333333333337
attack,1200.0,E0_1_1100m,2189.2,27.21233333333333
attack,1200.0,E0_1_1200m,2191.6,27.134666666666668
attack,1200.0,E0_1_1300m,2196.8,27.045333333333335
attack,1200.0,E0_1_1400m,2194.8,26.95966666666667
attack,1200.0,E0_1_1500m,2200.0,26.903
attack,1200.0,E0_1_1600m,2204.4,26.835666666666665
attack,1200.0,E0_1_1700m,2204.4,26.742333333333328
attack,1200.0,E0_1_1800m,2204.4,26.676000000000002
attack,1200.0,E0_1_1900m,2207.6,26.61433333333333
attack,1200.0,E0_1_2000m,2206.8,26.546333333333337
attack,1200.0,E0_1_200m,2156.0,27.860666666666663
attack,1200.0,E0_1_2100m,2199.6,26.476000000000003
attack,1200.0,E0_1_2200m,2197.6,26.38666666666667
attack,1200.0,E0_1_2300m,2199.2,26.283999999999995
attack,1200.0,E0_1_2400m,2204.8,26.143333333333334
attack,1200.0,E0_1_2500m,2198.4,25.965666666666664
attack,1200.0,E0_1_2600m,2200.8,25.715666666666667
attack,1200.0,E0_1_2700m,2208.0,25.360666666666667
attack,1200.0,E0_1_2800m,2209.2,24.81933333333333
attack,1200.0,E0_1_2900m,2210.8,24.052666666666667
attack,1200.0,E0_1_3000m,2212.8,22.96066666666667
attack,1200.0,E0_1_300m,2165.2,27.841
attack,1200.0,E0_1_3100m,2187.6,22.758
attack,1200.0,E0_1_3200m,2142.0,22.76066666666667
attack,1200.0,E0_1_3300m,2140.0,22.703666666666663
attack,1200.0,E0_1_3400m,2140.4,22.656666666666663
